employee_id,job_title,department,monthly_salary_eur,employment_type,country_payroll,employer_cost_multiplier,weekly_capacity_hours,start_date
E001,Founder/CEO,Leadership,7200,full_time,DE,1.31,40,2025-06-27
E002,COO,Operations,6200,full_time,DE,1.19,40,2025-05-06
E003,Head of Data,Data Science,6800,full_time,DE,1.21,40,2025-05-16
E004,Data Engineer,Data Engineering,5200,full_time,DE,1.19,40,2025-06-06
E005,Data Engineer,Data Engineering,5000,full_time,DE,1.23,40,2024-07-06
E006,ML Engineer,Machine Learning,5600,full_time,DE,1.23,40,2024-11-20
E007,ML Engineer,Machine Learning,5400,full_time,NL,1.22,40,2024-07-26
E008,Analytics Engineer,Analytics,4800,full_time,DE,1.3,40,2025-07-20
E009,BI Analyst,Analytics,4200,full_time,DE,1.23,40,2025-03-27
E010,Automation Engineer,Automation,5200,full_time,DE,1.22,40,2025-10-01
E011,Automation Engineer,Automation,5000,full_time,DE,1.26,40,2025-11-15
E012,Backend Engineer,Engineering,5400,full_time,DE,1.2,40,2024-10-28
E013,Product Manager,Product,5200,full_time,DE,1.29,40,2024-11-04
E014,Project Manager,Delivery,5000,full_time,NL,1.19,40,2025-05-17
E015,Designer,Design,3800,full_time,FR,1.32,40,2025-04-03
E016,Sales Lead,Sales,4600,part_time,NL,1.29,20,2025-07-31
E017,Account Executive,Sales,4200,full_time,FR,1.21,40,2025-10-01
E018,Finance/Admin,Admin,3600,full_time,DE,1.18,40,2024-07-28
