invoice_id,client_name,project_id,invoice_date,amount_eur,status,payment_date,due_date
INV01000,Helios Mobility,P002,2025-10-03,18000.0,paid,2025-10-31,2025-11-02
INV01001,Helios Mobility,P002,2025-11-03,18000.0,paid,2025-11-17,2025-12-03
INV01002,Helios Mobility,P002,2025-12-03,18000.0,paid,2025-12-25,2026-01-02
INV01003,Helios Mobility,P002,2026-01-03,18000.0,paid,2026-02-06,2026-02-02
INV01004,Helios Mobility,P002,2026-02-03,18000.0,paid,2026-03-06,2026-03-05
INV01005,Helios Mobility,P002,2026-03-03,18000.0,paid,2026-04-05,2026-04-02
INV01006,MediNova Clinics,P006,2025-10-03,12000.0,paid,2025-10-19,2025-11-02
INV01007,MediNova Clinics,P006,2025-11-03,12000.0,overdue,,2025-12-03
INV01008,MediNova Clinics,P006,2025-12-03,12000.0,paid,2025-12-31,2026-01-02
INV01009,MediNova Clinics,P006,2026-01-03,12000.0,paid,2026-01-26,2026-02-02
INV01010,MediNova Clinics,P006,2026-02-03,12000.0,paid,2026-02-10,2026-03-05
INV01011,MediNova Clinics,P006,2026-03-03,12000.0,paid,2026-04-01,2026-04-02
INV01012,CityTransit,P011,2025-10-03,15000.0,paid,2025-10-28,2025-11-02
INV01013,CityTransit,P011,2025-11-03,15000.0,paid,2025-11-13,2025-12-03
INV01014,CityTransit,P011,2025-12-03,15000.0,paid,2025-12-10,2026-01-02
INV01015,CityTransit,P011,2026-01-03,15000.0,paid,2026-02-02,2026-02-02
INV01016,CityTransit,P011,2026-02-03,15000.0,paid,2026-02-10,2026-03-05
INV01017,CityTransit,P011,2026-03-03,15000.0,paid,2026-03-10,2026-04-02
INV01018,Nordlicht Retail,P001,2025-08-06,34000.0,paid,2025-08-23,2025-09-05
INV01019,Nordlicht Retail,P001,2025-09-15,34000.0,paid,2025-09-24,2025-10-15
INV01020,Nordlicht Retail,P001,2025-10-26,17000.0,paid,2025-11-27,2025-11-25
INV01021,Alpine Fintech,P003,2025-09-20,16800.0,paid,2025-10-09,2025-10-20
INV01022,Alpine Fintech,P003,2025-10-15,16800.0,paid,2025-11-06,2025-11-14
INV01023,Alpine Fintech,P003,2025-11-10,8400.0,paid,2025-12-12,2025-12-10
INV01024,KraftWerk Manufacturing,P005,2025-11-06,12000.0,paid,2025-11-26,2025-12-06
INV01025,KraftWerk Manufacturing,P005,2025-11-25,12000.0,paid,2025-12-10,2025-12-25
INV01026,KraftWerk Manufacturing,P005,2025-12-15,6000.0,overdue,,2026-01-14
INV01027,UrbanMart,P007,2025-10-20,26000.0,paid,2025-11-17,2025-11-19
INV01028,UrbanMart,P007,2025-11-30,26000.0,paid,2025-12-18,2025-12-30
INV01029,UrbanMart,P007,2026-01-10,13000.0,paid,2026-01-24,2026-02-09
INV01030,CloudForge SaaS,P009,2025-12-06,15200.0,paid,2026-01-01,2026-01-05
INV01031,CloudForge SaaS,P009,2026-01-08,15200.0,paid,2026-02-06,2026-02-07
INV01032,CloudForge SaaS,P009,2026-02-10,7600.0,paid,2026-03-10,2026-03-12
INV01033,BioSense Labs,P010,2025-07-25,8800.0,paid,2025-08-28,2025-08-24
INV01034,BioSense Labs,P010,2025-08-12,8800.0,paid,2025-09-09,2025-09-11
INV01035,BioSense Labs,P010,2025-08-31,4400.0,overdue,,2025-09-30
INV01036,GreenGrid Energy,P004,2025-10-07,27870.6,paid,2025-11-04,2025-11-06
INV01037,GreenGrid Energy,P004,2025-11-07,23404.91,overdue,,2025-12-07
INV01038,GreenGrid Energy,P004,2025-12-07,24345.66,paid,2026-01-06,2026-01-06
INV01039,GreenGrid Energy,P004,2026-01-07,38066.21,paid,2026-01-12,2026-02-06
INV01040,GreenGrid Energy,P004,2026-02-07,34913.17,paid,2026-02-22,2026-03-09
INV01041,GreenGrid Energy,P004,2026-03-07,29602.82,unpaid,,2026-04-06
INV01042,AeroPulse,P008,2025-10-07,2560.42,overdue,,2025-11-06
INV01043,AeroPulse,P008,2025-11-07,3696.98,paid,2025-12-04,2025-12-07
INV01044,AeroPulse,P008,2025-12-07,4846.39,paid,2025-12-29,2026-01-06
INV01045,AeroPulse,P008,2026-01-07,3423.16,paid,2026-01-17,2026-02-06
INV01046,AeroPulse,P008,2026-02-07,3885.87,paid,2026-02-21,2026-03-09
INV01047,AeroPulse,P008,2026-03-07,3142.02,paid,2026-03-22,2026-04-06
INV01048,EcomSpark,P012,2025-10-07,33119.6,paid,2025-10-29,2025-11-06
INV01049,EcomSpark,P012,2025-11-07,30869.18,paid,2025-12-06,2025-12-07
INV01050,EcomSpark,P012,2025-12-07,36180.86,paid,2026-01-08,2026-01-06
INV01051,EcomSpark,P012,2026-01-07,30596.41,paid,2026-02-03,2026-02-06
INV01052,EcomSpark,P012,2026-02-07,25784.98,paid,2026-03-09,2026-03-09
INV01053,EcomSpark,P012,2026-03-07,27191.36,paid,2026-03-26,2026-04-06
